mmsi,SHIP_IMO,SHIP_NO,SHIP_TYPE_CODE,SHIP_DWT,SHIP_GROSSTON,SHIP_SPEED,SHIP_BREADTH,SHIP_DEPTH,SHIP_LENGTH,SHIP_ENGINE_POWER,SHIP_BUILT_YEAR,N,vesselType,TEUCapacity,lengthOverall
414239000,9232113,A140016000098,集装箱船,58768,50242,24.3,32.2,21.5,282.14,27131,2002,186,fully cellular containership,4367,282.14
414282000,9257072,A010016000167,散货船,50100,30928,14.5,32.26,17.4,191.76,9480,2002,161,bulk carrier,,191.76
414363000,9465796,A140018000065,散货船,75151,40170,14,32.26,19.6,225,8990,2009,59,,,
477948500,9412854,CHK-4432,集装箱船,21355,17194,19.7,27.6,14,171.99,15820,2007,191,fully cellular containership,1708,169.99
477948500,9412854,CHK-4432,集装箱船,21355,17194,19.7,27.6,14,171.99,15820,2007,191,fully cellular containership,1708,169.99
477948500,9412854,CHK-4432,集装箱船,21355,17194,19.7,27.6,14,171.99,15820,2007,191,fully cellular containership,1708,169.99
477948500,9412854,CHK-4432,集装箱船,21355,17194,19.7,27.6,14,171.99,15820,2007,191,fully cellular containership,1708,169.99
477978400,9649756,CHK-3531,杂货船,8500,6982,12,19,11.5,112.21,3150,2012,149,,,
563083400,9840702,B9840702,集装箱船,37621,32828,21.6,35,17,182,16080,2018,181,fully cellular containership,2500,185.99
413361010,9536038,A060011000042,油船,25082,18387,15,27.8,15,158,6480,2011,171,product tanker,,158
413361010,9536038,A060011000042,油船,25082,18387,15,27.8,15,158,6480,2011,171,product tanker,,158
413684000,9086978,A090009990003,散货船,71259,38211,11.5,32.2,18.8,224.94,7500,1995,66,bulk carrier,,224.94
413684000,9086978,B9086978,散货船,71259,38205,13.5,32.24,18.1,225,10200,1995,66,bulk carrier,,224.94
413988000,9195327,A020013000060,散货船,74443,38881,13.5,32.2,19.2,225,9340,1999,106,bulk carrier,,225
414196000,9688972,A140014000146,散货船,64964,38573,14.1,32.26,18.2,225,9660,2014,68,,,
414352750,9861354,A170018000125,拖船,,1110,13,13.6,6.3,45.46,5588,2018,138,tug,,45.47
414406000,9603075,A070018000023,散货船,56629,32987,12.5,32.25,18.01,189.99,9480,2012,148,bulk carrier,,189.99
414406000,9603075,A070018000023,散货船,56629,32987,12.5,32.25,18.01,189.99,9480,2012,148,bulk carrier,,189.99
414406000,9603075,A070018000023,散货船,56629,32987,12.5,32.25,18.01,189.99,9480,2012,148,bulk carrier,,189.99
414429000,9224702,A070518000112,散货船,75202,40605,14.87,32.25,19.8,225.01,11169,2001,168,bulk carrier,1094,224.9
414429000,9224702,A070518000112,散货船,75202,40605,14.87,32.25,19.8,225.01,11169,2001,168,bulk carrier,1094,224.9
414429000,9224702,A070518000112,散货船,75202,40605,14.87,32.25,19.8,225.01,11169,2001,168,bulk carrier,1094,224.9
414429000,9224702,A070518000112,散货船,75202,40605,14.87,32.25,19.8,225.01,11169,2001,168,bulk carrier,1094,224.9
477001500,9645700,CHK-3667,散货船,13600,8896,12,20,8.89,140.7,3552,2011,158,general cargo,,140.7
477188700,9266114,CHK-3882,集装箱船,22077,17153,19.7,27.6,14,171.99,15785,2006,178,fully cellular containership,1620,171.99
413381050,9722259,A010018000051,散装化学品船/油船,2444,2028,12,13.2,6.2,85,1290,2018,57,,,
413527370,413527370,A070308000629,散货船,12467,8377,10,20,10.5,140.19,2970,2008,126,,,
413703440,9802516,A180018000025,散装化学品船/油船,5484,4214,12,16.5,8.4,103.8,2040,2018,133,chemical tanker,,103.8
414029000,9492608,A140011000110,散货船,76000,40913,13.5,32.26,19.6,225,7950,2011,55,bulk carrier,,225
477369900,9845726,B9845726,集装箱船,35350,26771,19,32.2,17,185.32,17430,2019,189,fully cellular containership,2700,188.79
477369900,9845726,B9845726,集装箱船,35350,26771,19,32.2,17,185.32,17430,2019,189,fully cellular containership,,188.79
636019593,9869514,B9869514,散货船,187277,99216,15,47.5,24.7,299.88,17218,2019,151,bulk carrier,,299.88
215354000,9839911,B9839911,集装箱船,157076,149314,20,51,30,365.98,68640,2019,206,fully cellular containership,,366
412602000,9475545,A140010000031,散货船,56970,32911,14.2,32.26,18,189.99,9480,2010,160,,,
477112800,9726059,C9726059,散货船,179562,94724,14,46,24.8,295,14875,2015,144,,,
477390200,9591557,A060013000016,散货船,75538,41605,12,32.25,19.7,224.9,9500,2014,36,bulk carrier,,224.9
414011000,9580950,A090011000008,散货船,57000,32873,12,32.26,18,189.99,9480,2011,75,bulk carrier,,189.99
414011000,9580950,A090011000008,散货船,57000,32873,12,32.26,18,189.99,9480,2011,75,bulk carrier,,189.99
414011000,9580950,A090011000008,散货船,57000,32873,12,32.26,18,189.99,9480,2011,75,bulk carrier,,189.99
412521180,9224128,A120400133,多用途船,4039,3580,12,16.2,7.2,93,1980,2000,125,,,
413358920,9596909,A060011000006,散装化学品船,6553,4359,10.5,17.5,8,105.06,2500,2011,155,,,
413377080,9509839,A010012000115,散装化学品船/油船,3913,2995,12,15,7.4,96.6,2206,2012,144,,,
413444446,9063110,A010100046,油船,61957,38570,14.5,32.2,19,228.5,8826,1995,166,product tanker,,228.5
413444446,9063110,A010100046,油船,61957,38570,14.5,32.2,19,228.5,8826,1995,166,product tanker,,228.5
413444446,9063110,A010100046,油船,61957,38570,14.5,32.2,19,228.5,8826,1995,166,product tanker,,228.5
413444446,9063110,A010100046,油船,61957,38570,14.5,32.2,19,228.5,8826,1995,166,product tanker,,228.5
414434000,9260122,A070118000131,散货船,74832,40437,13,32.26,19.6,225,8552,2001,125,bulk carrier,,225
414434000,9260122,A070118000131,散货船,74832,40437,13,32.26,19.6,225,8552,2001,125,bulk carrier,,225
636017609,9587441,CHK-3173,散货船,93271,51225,14,38,20.7,229.2,13560,2011,158,bulk carrier,,229.2
413441460,9609976,A070111000102,油船,12834,8596,12.5,20.8,10.5,137.85,3310,2011,171,Tanker (unspecified),,137.85
414740000,9505481,A110013000002,散货船,56632,32976,12,32.26,18,189.99,9480,2013,71,,,
613003624,8626563,B8626563,水产品运输船,680,497,11,9.4,4.5,56.3,588,1986,114,general cargo,,55.86
413461340,9077240,A140007990001,散货船,70182,36559,14.5,32.26,18.3,225,8826,1994,63,,,
477588400,9704740,CHK-4449,杂货船,38122,26600,13.77,28.56,15.8,189.99,6960,2015,16,,,
412241000,9493602,A140009000034,散货船,93326,51158,14.5,38,20.7,229.2,13560,2009,70,bulk carrier,,229.2
412241000,9493602,A140009000034,散货船,93326,51158,14.5,38,20.7,229.2,13560,2009,70,bulk carrier,,229.2
412380450,9200469,A090311000041,液化气船,3361,3505,12,16.6,7.1,94.5,2405,1999,145,,,
413527910,9814404,A110018000020,油船,7303,7414,14,19.5,11,114.92,3330,2018,156,asphalt tanker,,114.92
413527910,9814404,A110018000020,油船,7303,7414,14,19.5,11,114.92,3330,2018,156,asphalt tanker,,114.92
477312500,9807750,CHK-4962,散货船,,203339,15,65,30.4,361.9,24200,2015,133,bulk carrier,,361.9
477312500,9807750,CHK-4962,散货船,,203339,15,65,30.4,361.9,24200,2015,133,bulk carrier,,361.9
477312500,9807750,C9807750,散货船,399276,203339,14,65,30.4,361.9,24200,2015,133,bulk carrier,,361.9
477312500,9807750,C9807750,散货船,399276,203339,14,65,30.4,361.9,24200,2015,133,bulk carrier,,361.9
311000894,9847243,B9847243,散货船,183017,93458,15,45,24.6,291.99,15815,2019,15,bulk carrier,,291.99
311000894,9847243,B9847243,散货船,183017,93458,15,45,24.6,291.99,15815,2019,15,bulk carrier,,291.99
311000894,9847243,B9847243,散货船,183017,93458,15,45,24.6,291.99,15815,2019,15,bulk carrier,,291.99
311000894,9847243,B9847243,散货船,183017,93458,15,45,24.6,291.99,15815,2019,15,bulk carrier,,291.99
374241000,9863326,B9863326,集装箱船,224997,228283,19,61,80.98,399.9,60380,2020,192,,,
412095000,9138501,A020013000055,散货船,74005,38338,13.2,32.26,19.1,225,7654,1997,77,,,
413228740,9658501,A120812000131,油船,17966,11517,11.5,22.6,12.5,150.59,4440,2012,170,product tanker,,150.59
